index,frequent_ml
1683,Scikit-Learn
1685,Xgboost
1686,TensorFlow
1688,Keras
1689,Scikit-Learn
1692,Xgboost
1696,Keras
1698,TensorFlow
1700,Caret
1702,Keras
1703,Spark MLlib
1704,Keras
1709,Scikit-Learn
1711,Scikit-Learn
1712,Scikit-Learn
1713,Keras
1715,Scikit-Learn
1716,Scikit-Learn
1717,Scikit-Learn
1718,Scikit-Learn
1719,Keras
1720,Fastai
1721,TensorFlow
1722,TensorFlow
1723,TensorFlow
1724,Keras
1725,Caret
1726,Scikit-Learn
1727,Scikit-Learn
1730,Mxnet
1731,Scikit-Learn
1732,Scikit-Learn
1734,Scikit-Learn
1735,Scikit-Learn
1736,Scikit-Learn
1737,Keras
1738,Caret
1740,Scikit-Learn
1741,Spark MLlib
1742,Scikit-Learn
1743,Scikit-Learn
1744,lightgbm
1745,Keras
1746,PyTorch
1748,lightgbm
1749,TensorFlow
1750,Scikit-Learn
1751,Scikit-Learn
1752,Scikit-Learn
1753,TensorFlow
1754,TensorFlow
1755,Keras
1756,H20
1757,Caret
1759,Fastai
1760,Prophet
1762,Scikit-Learn
1764,Scikit-Learn
1767,Scikit-Learn
1768,Caret
1769,Scikit-Learn
1770,Scikit-Learn
1771,Scikit-Learn
1773,Scikit-Learn
1774,Scikit-Learn
1776,Caret
1777,TensorFlow
1778,randomForest
1779,Spark MLlib
1781,TensorFlow
1782,Scikit-Learn
1783,TensorFlow
1784,randomForest
1785,Scikit-Learn
1786,TensorFlow
1787,Scikit-Learn
1788,Xgboost
1789,TensorFlow
1791,TensorFlow
1792,Scikit-Learn
1793,Scikit-Learn
1794,TensorFlow
1796,TensorFlow
1797,Scikit-Learn
1798,Scikit-Learn
1799,Scikit-Learn
1800,Scikit-Learn
1802,Scikit-Learn
1804,Scikit-Learn
1806,randomForest
1807,Scikit-Learn
1808,Scikit-Learn
1809,Keras
1810,Xgboost
1811,Scikit-Learn
1812,Scikit-Learn
1813,Scikit-Learn
1815,PyTorch
1818,Scikit-Learn
1819,lightgbm
1821,TensorFlow
1822,randomForest
1823,TensorFlow
1824,Caret
1827,TensorFlow
1828,TensorFlow
1829,Scikit-Learn
1830,Xgboost
1832,Keras
1833,TensorFlow
1834,Scikit-Learn
1835,PyTorch
1836,Keras
1839,Scikit-Learn
1840,Scikit-Learn
1841,Keras
1842,Keras
1843,TensorFlow
1844,Spark MLlib
1845,Scikit-Learn
1847,Scikit-Learn
1848,randomForest
1849,Caffe
1850,randomForest
1851,Scikit-Learn
1852,Scikit-Learn
1855,PyTorch
1856,Xgboost
1857,Scikit-Learn
1859,Scikit-Learn
1860,Scikit-Learn
1861,Scikit-Learn
1862,Caret
1863,Scikit-Learn
1864,TensorFlow
1867,Scikit-Learn
1868,Scikit-Learn
1869,Spark MLlib
1871,Scikit-Learn
1873,Scikit-Learn
1874,Scikit-Learn
1875,Scikit-Learn
1876,TensorFlow
1879,Caret
1880,TensorFlow
1881,TensorFlow
1882,Scikit-Learn
1883,Scikit-Learn
1884,Scikit-Learn
1885,Scikit-Learn
1886,Scikit-Learn
1887,Scikit-Learn
1888,Scikit-Learn
1889,Scikit-Learn
1890,Scikit-Learn
1893,TensorFlow
1894,Scikit-Learn
1896,Scikit-Learn
1897,Scikit-Learn
1899,Scikit-Learn
1900,Scikit-Learn
1901,Scikit-Learn
1902,Scikit-Learn
1903,Keras
1904,Scikit-Learn
1905,randomForest
1906,Scikit-Learn
1908,Scikit-Learn
1909,Scikit-Learn
1910,TensorFlow
1911,lightgbm
1912,TensorFlow
1913,Caret
1914,Scikit-Learn
1917,Scikit-Learn
1918,Scikit-Learn
1919,Caret
1921,Scikit-Learn
1922,Scikit-Learn
1923,Keras
1925,Scikit-Learn
1927,Scikit-Learn
1928,H20
1929,Caret
1930,Scikit-Learn
1933,Keras
1934,Scikit-Learn
1936,Scikit-Learn
1937,Scikit-Learn
1938,Scikit-Learn
1939,Caret
1940,TensorFlow
1941,Keras
1942,Scikit-Learn
1943,Keras
1944,Keras
1946,Scikit-Learn
1947,TensorFlow
1950,H20
1953,Keras
1957,Scikit-Learn
1959,Scikit-Learn
1960,Keras
1962,Keras
1963,randomForest
1965,Scikit-Learn
1966,Scikit-Learn
1967,Scikit-Learn
1970,Scikit-Learn
1971,Fastai
1972,TensorFlow
1973,Scikit-Learn
1974,TensorFlow
1975,lightgbm
1976,Scikit-Learn
1978,Scikit-Learn
1979,Scikit-Learn
1981,Xgboost
1982,Scikit-Learn
1983,Scikit-Learn
1984,Xgboost
1985,Keras
1986,Keras
1987,Scikit-Learn
1988,Scikit-Learn
1990,PyTorch
1991,Caret
1992,TensorFlow
1994,Keras
1995,randomForest
1996,Scikit-Learn
1998,TensorFlow
2000,TensorFlow
2002,Scikit-Learn
2003,Keras
2004,H20
2005,Spark MLlib
2006,Scikit-Learn
2007,Scikit-Learn
2008,Scikit-Learn
2009,Scikit-Learn
2014,Scikit-Learn
2015,Caret
2016,Scikit-Learn
2017,Scikit-Learn
2018,PyTorch
2019,Scikit-Learn
2020,Scikit-Learn
2021,TensorFlow
2022,Scikit-Learn
2023,Keras
2024,Scikit-Learn
2025,Keras
2027,Scikit-Learn
2029,Keras
2033,lightgbm
2035,Scikit-Learn
2036,Xgboost
2037,Scikit-Learn
2038,Scikit-Learn
2039,Scikit-Learn
2040,Caret
2041,Caffe
2042,Xgboost
2043,Keras
2044,Scikit-Learn
